trade_id,date,signal_date,variant,symbol,name,bucket,industry,side,action_enum,action_source,signal_level,entry_signal,exit_signal,replacement_pair_id,is_replacement_sell,is_replacement_buy,shares,round_lot,lots,fill_price,previous_close,next_open,close,trade_value,commission,stamp_tax,slippage,total_cost,cash_before,cash_after,shares_before,shares_after,position_value_before,position_value_after,average_cost_before,average_cost_after,realized_pnl,realized_pnl_pct,holding_days_at_exit,market_regime,reason_codes_json,blocked_reason_before_execution,execution_status,execution_reason,trace_quality_flag
T000001,2023-04-04,2023-04-03,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,600036.sh,招商银行,defensive_dividend,银行,BUY,BUY_1,research_backtest_trace,BUY_1,,,,False,False,300.0,100,3.0,27.67383,27.65,27.66,27.56,8302.149,2.4906447,0.0,4.148999999999603,2.4906447,50000.0,41695.3603553,0.0,300.0,0.0,8268.0,0.0,27.67383,0.0,0.0,,risk_on,[],,EXECUTED,open,RESEARCH_ONLY_SIMULATED_NEXT_BAR
T000002,2023-04-07,2023-04-06,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,601318.sh,中国平安,defensive_dividend,非银金融,BUY,BUY_1,research_backtest_trace,BUY_1,,,,False,False,100.0,100,1.0,37.948965,37.72,37.93,38.27,3794.8965000000003,1.13846895,0.0,1.8965000000001453,1.13846895,41695.3603553,37899.32538635,0.0,100.0,0.0,3827.0000000000005,0.0,37.948965,0.0,0.0,,neutral,[],,EXECUTED,open,RESEARCH_ONLY_SIMULATED_NEXT_BAR
T000003,2023-04-25,2023-04-24,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,601166.sh,兴业银行,defensive_dividend,银行,BUY,BUY_1,research_backtest_trace,BUY_1,,,,False,False,400.0,100,4.0,13.116554999999998,13.08,13.11,13.42,5246.621999999999,1.5739865999999996,0.0,2.6219999999995025,1.5739865999999996,37899.32538635,32651.12939975,0.0,400.0,0.0,5368.0,0.0,13.116554999999998,0.0,0.0,,neutral,[],,EXECUTED,open,RESEARCH_ONLY_SIMULATED_NEXT_BAR
T000004,2023-05-05,2023-05-04,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,002032.sz,苏 泊 尔,defensive_dividend,家用电器,BUY,BUY_1,research_backtest_trace,BUY_1,,,,False,False,100.0,100,1.0,42.07102499999999,42.3,42.05,42.68,4207.102499999999,1.2621307499999996,0.0,2.102499999999452,1.2621307499999996,32651.12939975,28442.764769,0.0,100.0,0.0,4268.0,0.0,42.07102499999999,0.0,0.0,,neutral,[],,EXECUTED,open,RESEARCH_ONLY_SIMULATED_NEXT_BAR
T000005,2023-05-12,2023-05-11,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,000651.sz,格力电器,defensive_dividend,家用电器,BUY,BUY_1,research_backtest_trace,BUY_1,,,,False,False,200.0,100,2.0,26.703345,26.69,26.69,26.95,5340.669,1.6022006999999998,0.0,2.6689999999994996,1.6022006999999998,28442.764769,23100.4935683,0.0,200.0,0.0,5390.0,0.0,26.703345,0.0,0.0,,neutral,[],,EXECUTED,open,RESEARCH_ONLY_SIMULATED_NEXT_BAR
T000006,2024-10-31,2024-10-30,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,000651.sz,000651.sz,defensive_dividend,家用电器,REPLACEMENT_SELL,SELL_ALL,research_backtest_trace,SELL_ALL,满足 defensive BUY_1。,SELL_ALL,R000001,True,False,200.0,100,2.0,40.489745,41.79,40.51,39.51,8097.949,2.4293846999999995,4.0489745,4.05099999999976,6.4783592,23100.4935683,31191.9642091,200.0,0.0,8358.0,0.0,26.703345,0.0,2750.8016408,0.5150668653683649,380.0,risk_on,[],,EXECUTED,open,RESEARCH_ONLY_SIMULATED_NEXT_BAR
T000007,2024-10-31,2024-10-30,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,600803.sh,新奥股份,defensive_dividend,公用事业,REPLACEMENT_BUY,BUY_1,research_backtest_trace,BUY_1,,,R000001,False,True,500.0,100,5.0,17.428710000000002,17.29,17.42,17.13,8714.355000000001,2.6143065,0.0,4.355000000000331,2.6143065,31191.9642091,22474.994902599996,0.0,500.0,0.0,8565.0,0.0,17.428710000000002,0.0,0.0,,risk_on,[],,EXECUTED,open,RESEARCH_ONLY_SIMULATED_NEXT_BAR
T000008,2025-03-17,2025-03-14,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,601166.sh,兴业银行,defensive_dividend,银行,SELL_ALL,SELL_ALL,research_backtest_trace,SELL_ALL,满足 defensive BUY_1。,SELL_ALL,,False,False,400.0,100,4.0,20.219885,20.14,20.23,20.28,8087.954000000001,2.4263862,4.043977000000001,4.045999999999594,6.470363200000001,22474.994902599996,30556.478539399995,400.0,0.0,8056.0,0.0,13.116554999999998,0.0,2834.8616368000016,0.540321303269037,470.0,risk_on,[],,EXECUTED,open,RESEARCH_ONLY_SIMULATED_NEXT_BAR
T000009,2025-03-28,2025-03-27,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,600011.sh,华能国际,defensive_dividend,公用事业,BUY,BUY_1,research_backtest_trace,BUY_1,,,,False,False,1600.0,100,16.0,6.573285,6.58,6.57,6.52,10517.256000000001,3.1551768,0.0,5.255999999999972,3.1551768,30556.478539399995,20036.06736259999,0.0,1600.0,0.0,10432.0,0.0,6.573285000000001,0.0,0.0,,risk_on,[],,EXECUTED,open,RESEARCH_ONLY_SIMULATED_NEXT_BAR
T000010,2026-03-04,2026-03-03,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,600803.sh,新奥股份,defensive_dividend,公用事业,SELL_ALL,SELL_ALL,research_backtest_trace,SELL_ALL,满足 defensive BUY_1。,SELL_ALL,,False,False,500.0,100,5.0,24.537725000000002,24.05,24.55,23.0,12268.862500000001,3.68065875,6.1344312500000004,6.137499999999463,9.815090000000001,20036.06736259999,32295.11477259999,500.0,0.0,12025.0,0.0,17.428710000000002,0.0,3544.6924099999997,0.4067647473622545,703.0,risk_on,[],,EXECUTED,open,RESEARCH_ONLY_SIMULATED_NEXT_BAR
