date,ts_code,name,bucket,intended_action,intended_signal_level,intended_target_weight,current_weight,close,stock_valuation_quantile,stock_valuation_quantile_source_field,industry_valuation_quantile,industry_valuation_quantile_source_field,valuation_fallback_used,valuation_fallback_reason,reason_code,reason_detail,lot_notional,minimum_lot_order_value,max_single_position_value,remaining_single_name_capacity,execution_eligible_for_new_buy,execution_ineligible_reason,pending_add_state,pending_reason,pending_until_condition,repeated_blocked_signal_suppressed,user_visible_action,rule_path
2023-04-03,601318.sh,中国平安,defensive_dividend,BUY_1,BUY_1,0.04,0.0,38.32,17.324934159014877,stock_pb_q_blended,16.229482525446652,industry_pb_q_blended,False,,DAILY_NEW_POSITION_LIMIT,买入请求不满足 100 股整手、现金或单票上限。,3832.0,3832.0,6000.0,6000.0,False,DAILY_NEW_POSITION_LIMIT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2023-05-24,600999.sh,招商证券,defensive_dividend,BUY_1,BUY_1,0.04,0.0,12.77,17.845872076641307,stock_pb_q_blended,15.837535014005601,industry_pb_q_blended,False,,DAILY_NEW_POSITION_LIMIT,买入请求不满足 100 股整手、现金或单票上限。,1277.0,2554.0,5968.520352156001,5968.520352156001,False,DAILY_NEW_POSITION_LIMIT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2023-05-29,000333.sz,美的集团,defensive_dividend,BUY_1,BUY_1,0.04,0.0,44.05,25.43562701280822,stock_pe_ttm_q_blended,46.85649967841064,industry_pe_ttm_q_blended,False,,CASH_INSUFFICIENT_FOR_ONE_LOT,买入请求不满足 100 股整手、现金或单票上限。,4405.0,4405.0,5948.453959883999,5948.453959883999,False,CASH_INSUFFICIENT_FOR_ONE_LOT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2023-05-30,000333.sz,美的集团,defensive_dividend,BUY_1,BUY_1,0.04,0.0,42.93,21.33672416334955,stock_pe_ttm_q_blended,44.930476190476185,industry_pe_ttm_q_blended,False,,CASH_INSUFFICIENT_FOR_ONE_LOT,买入请求不满足 100 股整手、现金或单票上限。,4293.0,4293.0,5924.573959883999,5924.573959883999,False,CASH_INSUFFICIENT_FOR_ONE_LOT,False,,,True,False,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2023-05-31,000333.sz,美的集团,defensive_dividend,BUY_1,BUY_1,0.04,0.0,41.93,19.805741791301358,stock_pe_ttm_q_blended,41.64546298279433,industry_pe_ttm_q_blended,False,,CASH_INSUFFICIENT_FOR_ONE_LOT,买入请求不满足 100 股整手、现金或单票上限。,4193.0,4193.0,5884.373959883999,5884.373959883999,False,CASH_INSUFFICIENT_FOR_ONE_LOT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2023-09-04,600585.sh,海螺水泥,cyclical_rotation,BUY_1,BUY_1,0.03,0.0,25.36,22.010083237463625,stock_pb_q_blended,19.93519207777853,industry_pb_q_blended,False,,CASH_INSUFFICIENT_FOR_ONE_LOT,买入请求不满足 100 股整手、现金或单票上限。,2536.0,2536.0,4598.1540270765,4598.1540270765,False,CASH_INSUFFICIENT_FOR_ONE_LOT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2023-09-08,000333.sz,美的集团,defensive_dividend,BUY_1,BUY_1,0.04,0.0,49.13,36.188485150157625,stock_pe_ttm_q_blended,47.52951185302707,industry_pe_ttm_q_blended,False,,CASH_INSUFFICIENT_FOR_ONE_LOT,买入请求不满足 100 股整手、现金或单票上限。,4913.0,4913.0,6057.792036102001,6057.792036102001,False,CASH_INSUFFICIENT_FOR_ONE_LOT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2023-09-11,000333.sz,美的集团,defensive_dividend,BUY_1,BUY_1,0.04,0.0,49.48,37.724235963041934,stock_pe_ttm_q_blended,51.126126126126124,industry_pe_ttm_q_blended,False,,CASH_INSUFFICIENT_FOR_ONE_LOT,买入请求不满足 100 股整手、现金或单票上限。,4948.0,4948.0,6069.072036102,6069.072036102,False,CASH_INSUFFICIENT_FOR_ONE_LOT,False,,,True,False,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2023-09-14,000333.sz,美的集团,defensive_dividend,BUY_1,BUY_1,0.04,0.0,49.6,38.30281740117806,stock_pe_ttm_q_blended,48.48169822145726,industry_pe_ttm_q_blended,False,,CASH_INSUFFICIENT_FOR_ONE_LOT,买入请求不满足 100 股整手、现金或单票上限。,4960.0,4960.0,6085.992036102,6085.992036102,False,CASH_INSUFFICIENT_FOR_ONE_LOT,False,,,True,False,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2023-09-14,600926.sh,杭州银行,defensive_dividend,BUY_1,BUY_1,0.04,0.0,9.94,1.5220700152207,stock_pb_q_blended,34.82608597946022,industry_pb_q_blended,False,,CASH_INSUFFICIENT_FOR_ONE_LOT,买入请求不满足 100 股整手、现金或单票上限。,994.0,1988.0,6085.992036102,6085.992036102,False,CASH_INSUFFICIENT_FOR_ONE_LOT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
